,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,1,1,-1.0,434,0,883
1,-1,-1,-1.0,449,0,883
2,1,1,-1.0,379,1,883
3,-1,-1,-1.0,504,1,883
4,-1,-1,-1.0,536,2,883
5,1,1,-1.0,347,2,883
6,1,1,-1.0,411,3,883
7,-1,-1,-1.0,472,3,883
8,1,1,-1.0,414,4,883
9,-1,-1,-1.0,469,4,883
10,1,1,-1.0,442,5,883
11,-1,-1,-1.0,441,5,883
12,1,1,-1.0,397,6,883
13,-1,-1,-1.0,486,6,883
14,1,1,-1.0,371,7,883
15,-1,-1,-1.0,512,7,883
16,1,1,-1.0,435,8,883
17,-1,-1,-1.0,448,8,883
18,1,1,-1.0,425,9,883
19,-1,-1,-1.0,458,9,883
20,1,1,-1.0,132,10,261
21,-1,-1,-1.0,129,10,261
