,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,1,1,-1.0,356,0,884
1,-1,-1,-1.0,528,0,884
2,-1,-1,-1.0,518,1,884
3,1,1,-1.0,366,1,884
4,1,1,-1.0,371,2,884
5,-1,-1,-1.0,513,2,884
6,1,1,-1.0,470,3,884
7,-1,-1,-1.0,414,3,884
8,-1,-1,-1.0,429,4,884
9,1,1,-1.0,455,4,884
10,1,1,-1.0,413,5,884
11,-1,-1,-1.0,471,5,884
12,1,1,-1.0,388,6,884
13,-1,-1,-1.0,496,6,884
14,1,1,-1.0,415,7,884
15,-1,-1,-1.0,469,7,884
16,1,1,-1.0,403,8,884
17,-1,-1,-1.0,481,8,884
18,1,1,-1.0,382,9,884
19,-1,-1,-1.0,502,9,884
20,1,1,-1.0,417,10,884
21,-1,-1,-1.0,467,10,884
22,-1,-1,-1.0,96,11,175
23,1,1,-1.0,79,11,175
