,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,-1,-1,-1.0,431,0,883
1,1,1,-1.0,452,0,883
2,-1,-1,-1.0,416,1,883
3,1,1,-1.0,467,1,883
4,1,1,-1.0,564,2,883
5,-1,-1,-1.0,319,2,883
6,1,1,-1.0,470,3,883
7,-1,-1,-1.0,413,3,883
8,1,1,-1.0,437,4,883
9,-1,-1,-1.0,446,4,883
10,1,1,-1.0,406,5,883
11,-1,-1,-1.0,477,5,883
12,-1,-1,-1.0,529,6,883
13,1,1,-1.0,354,6,883
14,1,1,-1.0,352,7,883
15,-1,-1,-1.0,531,7,883
16,1,1,-1.0,481,8,883
17,-1,-1,-1.0,402,8,883
18,1,1,-1.0,293,9,539
19,-1,-1,-1.0,246,9,539
