,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,-1,-1,-1.0,425,0,883
1,1,1,-1.0,458,0,883
2,-1,-1,-1.0,558,1,883
3,1,1,-1.0,325,1,883
4,1,1,-1.0,392,2,883
5,-1,-1,-1.0,491,2,883
6,-1,-1,-1.0,550,3,883
7,1,1,-1.0,333,3,883
8,-1,-1,-1.0,499,4,883
9,1,1,-1.0,384,4,883
10,-1,-1,-1.0,451,5,883
11,1,1,-1.0,432,5,883
12,1,1,-1.0,434,6,883
13,-1,-1,-1.0,449,6,883
14,-1,-1,-1.0,497,7,883
15,1,1,-1.0,386,7,883
16,-1,-1,-1.0,513,8,883
17,1,1,-1.0,370,8,883
18,-1,-1,-1.0,347,9,640
19,1,1,-1.0,293,9,640
