,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,1,1,-1.0,344,0,884
1,-1,-1,-1.0,540,0,884
2,-1,-1,-1.0,577,1,884
3,1,1,-1.0,307,1,884
4,-1,-1,-1.0,513,2,884
5,1,1,-1.0,371,2,884
6,1,1,-1.0,315,3,884
7,-1,-1,-1.0,569,3,884
8,1,1,-1.0,263,4,884
9,-1,-1,-1.0,621,4,884
10,-1,-1,-1.0,545,5,884
11,1,1,-1.0,339,5,884
12,-1,-1,-1.0,600,6,884
13,1,1,-1.0,284,6,884
14,1,1,-1.0,377,7,884
15,-1,-1,-1.0,507,7,884
16,-1,-1,-1.0,605,8,884
17,1,1,-1.0,279,8,884
18,1,1,-1.0,293,9,884
19,-1,-1,-1.0,591,9,884
20,1,1,-1.0,209,10,554
21,-1,-1,-1.0,345,10,554
