,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,-1,-1,-1.0,497,0,883
1,1,1,-1.0,386,0,883
2,-1,-1,-1.0,386,1,883
3,1,1,-1.0,497,1,883
4,1,1,-1.0,445,2,883
5,-1,-1,-1.0,438,2,883
6,-1,-1,-1.0,363,3,883
7,1,1,-1.0,520,3,883
8,1,1,-1.0,457,4,883
9,-1,-1,-1.0,426,4,883
10,1,1,-1.0,392,5,883
11,-1,-1,-1.0,491,5,883
12,-1,-1,-1.0,470,6,883
13,1,1,-1.0,413,6,883
14,-1,-1,-1.0,491,7,883
15,1,1,-1.0,392,7,883
16,1,1,-1.0,405,8,883
17,-1,-1,-1.0,478,8,883
18,1,1,-1.0,458,9,883
19,-1,-1,-1.0,425,9,883
20,1,1,-1.0,90,10,160
21,-1,-1,-1.0,70,10,160
