,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,-1,-1,-1.0,543,0,883
1,1,1,-1.0,340,0,883
2,1,1,-1.0,314,1,883
3,-1,-1,-1.0,569,1,883
4,1,1,-1.0,398,2,883
5,-1,-1,-1.0,485,2,883
6,-1,-1,-1.0,626,3,883
7,1,1,-1.0,257,3,883
8,1,1,-1.0,451,4,883
9,-1,-1,-1.0,432,4,883
10,-1,-1,-1.0,437,5,883
11,1,1,-1.0,446,5,883
12,1,1,-1.0,412,6,883
13,-1,-1,-1.0,471,6,883
14,-1,-1,-1.0,526,7,883
15,1,1,-1.0,357,7,883
16,1,1,-1.0,407,8,883
17,-1,-1,-1.0,476,8,883
18,-1,-1,-1.0,481,9,883
19,1,1,-1.0,402,9,883
20,1,1,-1.0,36,10,60
21,-1,-1,-1.0,24,10,60
