,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,1,1,-1.0,362,0,883
1,-1,-1,-1.0,521,0,883
2,1,1,-1.0,429,1,883
3,-1,-1,-1.0,454,1,883
4,-1,-1,-1.0,551,2,883
5,1,1,-1.0,332,2,883
6,1,1,-1.0,414,3,883
7,-1,-1,-1.0,469,3,883
8,1,1,-1.0,411,4,883
9,-1,-1,-1.0,472,4,883
10,-1,-1,-1.0,464,5,883
11,1,1,-1.0,419,5,883
12,1,1,-1.0,397,6,883
13,-1,-1,-1.0,486,6,883
14,1,1,-1.0,380,7,883
15,-1,-1,-1.0,503,7,883
16,1,1,-1.0,372,8,883
17,-1,-1,-1.0,511,8,883
18,1,1,-1.0,353,9,741
19,-1,-1,-1.0,388,9,741
