,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,-1,-1,-1.0,509,0,883
1,1,1,-1.0,374,0,883
2,-1,-1,-1.0,488,1,883
3,1,1,-1.0,395,1,883
4,1,1,-1.0,454,2,883
5,-1,-1,-1.0,429,2,883
6,-1,-1,-1.0,503,3,883
7,1,1,-1.0,380,3,883
8,-1,-1,-1.0,425,4,883
9,1,1,-1.0,458,4,883
10,-1,-1,-1.0,366,5,883
11,1,1,-1.0,517,5,883
12,-1,-1,-1.0,430,6,883
13,1,1,-1.0,453,6,883
14,1,1,-1.0,395,7,883
15,-1,-1,-1.0,488,7,883
16,-1,-1,-1.0,422,8,883
17,1,1,-1.0,461,8,883
18,-1,-1,-1.0,210,9,438
19,1,1,-1.0,228,9,438
