,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,-1,-1,-1.0,476,0,883
1,1,1,-1.0,407,0,883
2,-1,-1,-1.0,502,1,883
3,1,1,-1.0,381,1,883
4,1,1,-1.0,363,2,883
5,-1,-1,-1.0,520,2,883
6,-1,-1,-1.0,513,3,883
7,1,1,-1.0,370,3,883
8,1,1,-1.0,341,4,883
9,-1,-1,-1.0,542,4,883
10,1,1,-1.0,317,5,883
11,-1,-1,-1.0,566,5,883
12,1,1,-1.0,326,6,883
13,-1,-1,-1.0,557,6,883
14,1,1,-1.0,386,7,883
15,-1,-1,-1.0,497,7,883
16,1,1,-1.0,387,8,883
17,-1,-1,-1.0,496,8,883
18,-1,-1,-1.0,478,9,842
19,1,1,-1.0,364,9,842
