,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,1,1,-1.0,505,0,883
1,-1,-1,-1.0,378,0,883
2,1,1,-1.0,487,1,883
3,-1,-1,-1.0,396,1,883
4,1,1,-1.0,397,2,883
5,-1,-1,-1.0,486,2,883
6,1,1,-1.0,478,3,883
7,-1,-1,-1.0,405,3,883
8,1,1,-1.0,462,4,883
9,-1,-1,-1.0,421,4,883
10,1,1,-1.0,475,5,883
11,-1,-1,-1.0,408,5,883
12,-1,-1,-1.0,392,6,883
13,1,1,-1.0,491,6,883
14,-1,-1,-1.0,434,7,883
15,1,1,-1.0,449,7,883
16,-1,-1,-1.0,455,8,883
17,1,1,-1.0,428,8,883
18,-1,-1,-1.0,218,9,337
19,1,1,-1.0,119,9,337
