,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,1,1,-1.0,513,0,883
1,-1,-1,-1.0,370,0,883
2,1,1,-1.0,419,1,883
3,-1,-1,-1.0,464,1,883
4,1,1,-1.0,436,2,883
5,-1,-1,-1.0,447,2,883
6,1,1,-1.0,485,3,883
7,-1,-1,-1.0,398,3,883
8,-1,-1,-1.0,393,4,883
9,1,1,-1.0,490,4,883
10,1,1,-1.0,425,5,883
11,-1,-1,-1.0,458,5,883
12,1,1,-1.0,417,6,883
13,-1,-1,-1.0,466,6,883
14,1,1,-1.0,429,7,883
15,-1,-1,-1.0,454,7,883
16,-1,-1,-1.0,541,8,883
17,1,1,-1.0,342,8,883
18,-1,-1,-1.0,66,9,135
19,1,1,-1.0,69,9,135
