,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,1,1,-1.0,422,0,884
1,-1,-1,-1.0,462,0,884
2,1,1,-1.0,323,1,884
3,-1,-1,-1.0,561,1,884
4,-1,-1,-1.0,416,2,884
5,1,1,-1.0,468,2,884
6,-1,-1,-1.0,429,3,884
7,1,1,-1.0,455,3,884
8,1,1,-1.0,375,4,884
9,-1,-1,-1.0,509,4,884
10,1,1,-1.0,396,5,884
11,-1,-1,-1.0,488,5,884
12,-1,-1,-1.0,488,6,884
13,1,1,-1.0,395,6,884
14,1,-1,1.0,1,6,884
15,1,1,-1.0,389,7,884
16,-1,-1,-1.0,495,7,884
17,-1,-1,-1.0,461,8,884
18,1,1,-1.0,423,8,884
19,-1,-1,-1.0,421,9,884
20,1,1,-1.0,463,9,884
21,1,1,-1.0,214,10,453
22,-1,-1,-1.0,239,10,453
