,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,1,1,-1.0,365,0,884
1,-1,-1,-1.0,519,0,884
2,-1,-1,-1.0,477,1,884
3,1,1,-1.0,407,1,884
4,-1,-1,-1.0,521,2,884
5,1,1,-1.0,363,2,884
6,-1,-1,-1.0,533,3,884
7,1,1,-1.0,351,3,884
8,-1,-1,-1.0,495,4,884
9,1,1,-1.0,389,4,884
10,-1,-1,-1.0,635,5,884
11,1,1,-1.0,249,5,884
12,1,1,-1.0,412,6,884
13,-1,-1,-1.0,472,6,884
14,-1,-1,-1.0,521,7,884
15,1,1,-1.0,363,7,884
16,-1,-1,-1.0,511,8,884
17,1,1,-1.0,373,8,884
18,1,1,-1.0,438,9,884
19,-1,-1,-1.0,446,9,884
20,1,1,-1.0,341,10,857
21,-1,-1,-1.0,516,10,857
