,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,1,1,-1.0,429,0,884
1,-1,-1,-1.0,455,0,884
2,-1,-1,-1.0,439,1,884
3,1,1,-1.0,445,1,884
4,1,1,-1.0,463,2,884
5,-1,-1,-1.0,421,2,884
6,-1,-1,-1.0,501,3,884
7,1,1,-1.0,383,3,884
8,-1,-1,-1.0,514,4,884
9,1,1,-1.0,370,4,884
10,-1,-1,-1.0,374,5,884
11,1,1,-1.0,510,5,884
12,-1,-1,-1.0,381,6,884
13,1,1,-1.0,503,6,884
14,1,1,-1.0,425,7,884
15,-1,-1,-1.0,459,7,884
16,-1,-1,-1.0,394,8,884
17,1,1,-1.0,490,8,884
18,1,1,-1.0,430,9,884
19,-1,-1,-1.0,454,9,884
20,-1,-1,-1.0,373,10,884
21,1,1,-1.0,511,10,884
22,1,1,-1.0,126,11,276
23,-1,-1,-1.0,150,11,276
