,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,-1,-1,-1.0,536,0,884
1,1,1,-1.0,348,0,884
2,-1,-1,-1.0,567,1,884
3,1,1,-1.0,317,1,884
4,1,1,-1.0,383,2,884
5,-1,-1,-1.0,501,2,884
6,1,1,-1.0,364,3,884
7,-1,-1,-1.0,520,3,884
8,-1,-1,-1.0,488,4,884
9,1,1,-1.0,396,4,884
10,-1,-1,-1.0,531,5,884
11,1,1,-1.0,353,5,884
12,1,1,-1.0,385,6,884
13,-1,-1,-1.0,499,6,884
14,-1,-1,-1.0,443,7,884
15,1,1,-1.0,441,7,884
16,-1,-1,-1.0,512,8,884
17,1,1,-1.0,372,8,884
18,1,1,-1.0,407,9,884
19,-1,-1,-1.0,477,9,884
20,1,1,-1.0,376,10,756
21,-1,-1,-1.0,380,10,756
