,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,1,1,-1.0,356,0,884
1,-1,-1,-1.0,528,0,884
2,-1,-1,-1.0,487,1,884
3,1,1,-1.0,397,1,884
4,-1,-1,-1.0,577,2,884
5,1,1,-1.0,307,2,884
6,1,1,-1.0,327,3,884
7,-1,-1,-1.0,557,3,884
8,1,1,-1.0,301,4,884
9,-1,-1,-1.0,583,4,884
10,1,1,-1.0,275,5,884
11,-1,-1,-1.0,609,5,884
12,-1,-1,-1.0,492,6,884
13,1,1,-1.0,392,6,884
14,-1,-1,-1.0,506,7,884
15,1,1,-1.0,378,7,884
16,1,1,-1.0,331,8,884
17,-1,-1,-1.0,553,8,884
18,1,1,-1.0,351,9,884
19,-1,-1,-1.0,533,9,884
20,1,1,-1.0,189,10,655
21,-1,-1,-1.0,466,10,655
